PPDA Serie A 2018/2019,,,
PPDA Home,Home Team,PPDA Away,Away Team
22.05,Chievo,6.81,Juventus
25.56,Lazio,14.5,Napoli
15.47,Torino,6.46,Roma
7.71,Sampdoria,13.84,Fiorentina
11.79,AC Milan,11.52,Genoa
13.5,Parma Calcio 1913,10.79,Udinese
14.21,Sassuolo,8.08,Inter
10.48,Empoli,6.12,Cagliari
8.97,Bologna,8,SPAL 2013
8.5,Atalanta,23.5,Frosinone
13.44,Juventus,10.79,Lazio
10.02,Napoli,17.94,AC Milan
9.22,SPAL 2013,16.18,Parma Calcio 1913
14.38,Udinese,4.58,Sampdoria
11.17,Cagliari,9.72,Sassuolo
16.24,Fiorentina,14,Chievo
9.17,Frosinone,9.77,Bologna
15.58,Genoa,4.87,Empoli
9.93,Inter,17.21,Torino
8.22,Roma,13.19,Atalanta
15.3,AC Milan,22,Roma
33.29,Bologna,9.35,Inter
18.47,Parma Calcio 1913,6,Juventus
4.48,Fiorentina,12.67,Udinese
7.6,Lazio,18.39,Frosinone
24.69,Chievo,10.5,Empoli
12.24,Atalanta,12,Cagliari
9.06,Sampdoria,9.24,Napoli
10.5,Sassuolo,6.91,Genoa
7.38,Torino,5.93,SPAL 2013
22.06,Cagliari,12.58,AC Milan
13.41,Empoli,20,Lazio
14,Frosinone,8.71,Sampdoria
14.4,Genoa,10.4,Bologna
7.94,Inter,20,Parma Calcio 1913
12.38,Juventus,8.3,Sassuolo
10.33,Napoli,13.71,Fiorentina
15.9,Roma,24.57,Chievo
10.63,SPAL 2013,5.06,Atalanta
15.67,Udinese,6.12,Torino
36.88,Bologna,6.63,Roma
7.29,Chievo,47.14,Udinese
15.71,Fiorentina,12.43,SPAL 2013
14.71,Frosinone,7.22,Juventus
8.41,Lazio,13.19,Genoa
24.1,AC Milan,15.27,Atalanta
18.4,Parma Calcio 1913,7.05,Cagliari
13.94,Sampdoria,12.09,Inter
8.91,Sassuolo,21.22,Empoli
14.05,Torino,13.48,Napoli
5.79,Atalanta,10.52,Torino
7.26,Cagliari,8.82,Sampdoria
9.78,Empoli,10.44,AC Milan
9.84,Genoa,9.81,Chievo
7.69,Inter,5.05,Fiorentina
4.85,Juventus,31.06,Bologna
9.96,Napoli,19.1,Parma Calcio 1913
14.24,Roma,34,Frosinone
